FeatureCode,DateCode,variable,value
S12000005,2005,Expenditure,3541
S12000006,2005,Expenditure,20466
S12000008,2005,Expenditure,12145
S12000010,2005,Expenditure,6818
S12000011,2005,Expenditure,11185
S12000013,2005,Expenditure,7428
S12000014,2005,Expenditure,12049
S12000017,2005,Expenditure,29490
S12000018,2005,Expenditure,8104
S12000019,2005,Expenditure,7756
S12000020,2005,Expenditure,9779
S12000021,2005,Expenditure,13447
S12000023,2005,Expenditure,10879
S12000026,2005,Expenditure,15272
S12000027,2005,Expenditure,18584
S12000028,2005,Expenditure,10941
S12000029,2005,Expenditure,37166
S12000030,2005,Expenditure,8064
S12000033,2005,Expenditure,17531
S12000034,2005,Expenditure,27017
S12000035,2005,Expenditure,14745
S12000036,2005,Expenditure,22364
S12000038,2005,Expenditure,16275
S12000039,2005,Expenditure,7604
S12000040,2005,Expenditure,14556
S12000041,2005,Expenditure,15074
S12000042,2005,Expenditure,12132
S12000045,2005,Expenditure,12483
S12000047,2005,Expenditure,35074
S12000048,2005,Expenditure,14450
S12000005,2006,Expenditure,3324
S12000006,2006,Expenditure,19846
S12000008,2006,Expenditure,10713
S12000010,2006,Expenditure,6099
S12000011,2006,Expenditure,10586
S12000013,2006,Expenditure,7778
S12000014,2006,Expenditure,11110
S12000017,2006,Expenditure,23810
S12000018,2006,Expenditure,4649
S12000019,2006,Expenditure,7168
S12000020,2006,Expenditure,8376
S12000021,2006,Expenditure,10910
S12000023,2006,Expenditure,10711
S12000026,2006,Expenditure,13221
S12000027,2006,Expenditure,17988
S12000028,2006,Expenditure,9887
S12000029,2006,Expenditure,32242
S12000030,2006,Expenditure,7058
S12000033,2006,Expenditure,10766
S12000034,2006,Expenditure,22044
S12000035,2006,Expenditure,13082
S12000036,2006,Expenditure,13879
S12000038,2006,Expenditure,12175
S12000039,2006,Expenditure,5787
S12000040,2006,Expenditure,13152
S12000041,2006,Expenditure,14351
S12000042,2006,Expenditure,7867
S12000045,2006,Expenditure,8860
S12000047,2006,Expenditure,29828
S12000048,2006,Expenditure,13767
S12000005,2007,Expenditure,3222
S12000006,2007,Expenditure,19743
S12000008,2007,Expenditure,11370
S12000010,2007,Expenditure,6413
S12000011,2007,Expenditure,10687
S12000013,2007,Expenditure,8355
S12000014,2007,Expenditure,10498
S12000017,2007,Expenditure,26775
S12000018,2007,Expenditure,4113
S12000019,2007,Expenditure,5841
S12000020,2007,Expenditure,8059
S12000021,2007,Expenditure,11279
S12000023,2007,Expenditure,11298
S12000026,2007,Expenditure,13558
S12000027,2007,Expenditure,17994
S12000028,2007,Expenditure,9966
S12000029,2007,Expenditure,32716
S12000030,2007,Expenditure,7347
S12000033,2007,Expenditure,10336
S12000034,2007,Expenditure,23423
S12000035,2007,Expenditure,14671
S12000036,2007,Expenditure,10566
S12000038,2007,Expenditure,12270
S12000039,2007,Expenditure,5920
S12000040,2007,Expenditure,14684
S12000041,2007,Expenditure,15977
S12000042,2007,Expenditure,6787
S12000045,2007,Expenditure,7577
S12000047,2007,Expenditure,30777
S12000048,2007,Expenditure,15535
S92000003,2007,Expenditure,447361
S12000005,2008,Expenditure,3382
S12000006,2008,Expenditure,20749
S12000008,2008,Expenditure,11365
S12000010,2008,Expenditure,7189
S12000011,2008,Expenditure,10440
S12000013,2008,Expenditure,9263
S12000014,2008,Expenditure,11079
S12000017,2008,Expenditure,31808
S12000018,2008,Expenditure,4698
S12000019,2008,Expenditure,8431
S12000020,2008,Expenditure,8984
S12000021,2008,Expenditure,11678
S12000023,2008,Expenditure,13259
S12000026,2008,Expenditure,14494
S12000027,2008,Expenditure,19366
S12000028,2008,Expenditure,10025
