FeatureCode,DateCode,Measurement,Units,Value,Indicator (public transport)
S12000028,2006,Count,Train Stations,10,Number Of Passenger Train Stations
S12000028,2016,Count,Train Stations,9,Number Of Passenger Train Stations
S12000028,2009,Count,Train Stations,10,Number Of Passenger Train Stations
S12000028,2017,Count,Train Stations,9,Number Of Passenger Train Stations
S12000028,2007,Count,Train Stations,10,Number Of Passenger Train Stations
S12000027,2016,Count,Train Stations,0,Number Of Passenger Train Stations
S12000028,2015,Count,Train Stations,9,Number Of Passenger Train Stations
S12000027,2015,Count,Train Stations,0,Number Of Passenger Train Stations
S12000028,2008,Count,Train Stations,10,Number Of Passenger Train Stations
S12000028,2013,Count,Train Stations,9,Number Of Passenger Train Stations
S12000029,2016,Count,Train Stations,18,Number Of Passenger Train Stations
S12000029,2015,Count,Train Stations,18,Number Of Passenger Train Stations
S12000029,2009,Count,Train Stations,19,Number Of Passenger Train Stations
S12000029,2018,Count,Train Stations,18,Number Of Passenger Train Stations
S12000029,2008,Count,Train Stations,19,Number Of Passenger Train Stations
S12000028,2010,Count,Train Stations,58,Number Of Passenger Train Stations
S12000028,2011,Count,Train Stations,9,Number Of Passenger Train Stations
S12000028,2018,Count,Train Stations,9,Number Of Passenger Train Stations
S12000028,2012,Count,Train Stations,9,Number Of Passenger Train Stations
S12000028,2014,Count,Train Stations,9,Number Of Passenger Train Stations
S12000026,2017,Count,Train Stations,3,Number Of Passenger Train Stations
S12000026,2016,Count,Train Stations,3,Number Of Passenger Train Stations
S12000026,2014,Count,Train Stations,0,Number Of Passenger Train Stations
S12000027,2007,Count,Train Stations,0,Number Of Passenger Train Stations
S12000027,2008,Count,Train Stations,0,Number Of Passenger Train Stations
S12000026,2018,Count,Train Stations,3,Number Of Passenger Train Stations
S12000026,2012,Count,Train Stations,0,Number Of Passenger Train Stations
S12000026,2010,Count,Train Stations,5,Number Of Passenger Train Stations
S12000026,2015,Count,Train Stations,3,Number Of Passenger Train Stations
S12000026,2011,Count,Train Stations,0,Number Of Passenger Train Stations
S12000027,2013,Count,Train Stations,0,Number Of Passenger Train Stations
S12000027,2014,Count,Train Stations,0,Number Of Passenger Train Stations
S12000027,2012,Count,Train Stations,0,Number Of Passenger Train Stations
S12000027,2017,Count,Train Stations,0,Number Of Passenger Train Stations
S12000027,2009,Count,Train Stations,0,Number Of Passenger Train Stations
S12000027,2006,Count,Train Stations,0,Number Of Passenger Train Stations
S12000027,2011,Count,Train Stations,0,Number Of Passenger Train Stations
S12000027,2010,Count,Train Stations,19,Number Of Passenger Train Stations
S12000027,2018,Count,Train Stations,0,Number Of Passenger Train Stations
S12000033,2018,Count,Train Stations,2,Number Of Passenger Train Stations
S12000033,2010,Count,Train Stations,0,Number Of Passenger Train Stations
S12000033,2014,Count,Train Stations,2,Number Of Passenger Train Stations
S12000033,2008,Count,Train Stations,2,Number Of Passenger Train Stations
S12000033,2009,Count,Train Stations,2,Number Of Passenger Train Stations
S12000030,2014,Count,Train Stations,6,Number Of Passenger Train Stations
S12000033,2015,Count,Train Stations,2,Number Of Passenger Train Stations
S12000030,2013,Count,Train Stations,6,Number Of Passenger Train Stations
S12000033,2007,Count,Train Stations,2,Number Of Passenger Train Stations
S12000033,2017,Count,Train Stations,2,Number Of Passenger Train Stations
S12000034,2006,Count,Train Stations,5,Number Of Passenger Train Stations
S12000034,2016,Count,Train Stations,6,Number Of Passenger Train Stations
S12000033,2016,Count,Train Stations,2,Number Of Passenger Train Stations
S12000034,2007,Count,Train Stations,5,Number Of Passenger Train Stations
S12000034,2018,Count,Train Stations,6,Number Of Passenger Train Stations
S12000033,2006,Count,Train Stations,2,Number Of Passenger Train Stations
S12000033,2012,Count,Train Stations,2,Number Of Passenger Train Stations
S12000033,2013,Count,Train Stations,2,Number Of Passenger Train Stations
S12000033,2011,Count,Train Stations,2,Number Of Passenger Train Stations
S12000029,2014,Count,Train Stations,18,Number Of Passenger Train Stations
S12000029,2007,Count,Train Stations,19,Number Of Passenger Train Stations
S12000029,2017,Count,Train Stations,18,Number Of Passenger Train Stations
S12000030,2012,Count,Train Stations,6,Number Of Passenger Train Stations
S12000030,2016,Count,Train Stations,6,Number Of Passenger Train Stations
S12000029,2013,Count,Train Stations,19,Number Of Passenger Train Stations
S12000029,2010,Count,Train Stations,58,Number Of Passenger Train Stations
S12000029,2012,Count,Train Stations,19,Number Of Passenger Train Stations
S12000029,2006,Count,Train Stations,19,Number Of Passenger Train Stations
S12000029,2011,Count,Train Stations,19,Number Of Passenger Train Stations
S12000030,2018,Count,Train Stations,6,Number Of Passenger Train Stations
S12000030,2006,Count,Train Stations,6,Number Of Passenger Train Stations
S12000030,2009,Count,Train Stations,6,Number Of Passenger Train Stations
S12000030,2015,Count,Train Stations,6,Number Of Passenger Train Stations
S12000030,2007,Count,Train Stations,6,Number Of Passenger Train Stations
S12000030,2008,Count,Train Stations,6,Number Of Passenger Train Stations
S12000030,2010,Count,Train Stations,14,Number Of Passenger Train Stations
S12000030,2017,Count,Train Stations,6,Number Of Passenger Train Stations
S12000030,2011,Count,Train Stations,6,Number Of Passenger Train Stations
S12000019,2017,Count,Train Stations,4,Number Of Passenger Train Stations
S12000019,2015,Count,Train Stations,4,Number Of Passenger Train Stations
