FeatureCode,DateCode,Measurement,Units,Value,Indicator (road vehicles)
S12000014,2011,Count,ktonnes,107,Total Amount Of Petrol And Diesel Consumed
S12000038,2016,Count,ktonnes,106,Total Amount Of Petrol And Diesel Consumed
S12000014,2007,Count,ktonnes,112,Total Amount Of Petrol And Diesel Consumed
S12000038,2006,Count,ktonnes,111,Total Amount Of Petrol And Diesel Consumed
S12000014,2015,Count,ktonnes,116,Total Amount Of Petrol And Diesel Consumed
S12000038,2007,Count,ktonnes,112,Total Amount Of Petrol And Diesel Consumed
S12000014,2017,Count,ktonnes,119,Total Amount Of Petrol And Diesel Consumed
S12000014,2005,Count,ktonnes,104,Total Amount Of Petrol And Diesel Consumed
S12000038,2013,Count,ktonnes,104,Total Amount Of Petrol And Diesel Consumed
S12000014,2008,Count,ktonnes,111,Total Amount Of Petrol And Diesel Consumed
S12000014,2006,Count,ktonnes,109,Total Amount Of Petrol And Diesel Consumed
S12000017,2016,Count,ktonnes,179,Total Amount Of Petrol And Diesel Consumed
S12000017,2007,Count,ktonnes,175,Total Amount Of Petrol And Diesel Consumed
S12000017,2017,Count,ktonnes,182,Total Amount Of Petrol And Diesel Consumed
S12000017,2008,Count,ktonnes,174,Total Amount Of Petrol And Diesel Consumed
S12000017,2009,Count,ktonnes,175,Total Amount Of Petrol And Diesel Consumed
S12000017,2010,Count,ktonnes,173,Total Amount Of Petrol And Diesel Consumed
S12000017,2005,Count,ktonnes,165,Total Amount Of Petrol And Diesel Consumed
S12000038,2012,Count,ktonnes,103,Total Amount Of Petrol And Diesel Consumed
S12000038,2005,Count,ktonnes,108,Total Amount Of Petrol And Diesel Consumed
S12000017,2011,Count,ktonnes,171,Total Amount Of Petrol And Diesel Consumed
S12000014,2016,Count,ktonnes,118,Total Amount Of Petrol And Diesel Consumed
S12000014,2018,Count,ktonnes,117,Total Amount Of Petrol And Diesel Consumed
S12000013,2013,Count,ktonnes,14,Total Amount Of Petrol And Diesel Consumed
S12000038,2017,Count,ktonnes,107,Total Amount Of Petrol And Diesel Consumed
S12000014,2010,Count,ktonnes,107,Total Amount Of Petrol And Diesel Consumed
S12000013,2010,Count,ktonnes,14,Total Amount Of Petrol And Diesel Consumed
S12000013,2009,Count,ktonnes,14,Total Amount Of Petrol And Diesel Consumed
S12000038,2014,Count,ktonnes,105,Total Amount Of Petrol And Diesel Consumed
S12000013,2007,Count,ktonnes,14,Total Amount Of Petrol And Diesel Consumed
S12000013,2015,Count,ktonnes,14,Total Amount Of Petrol And Diesel Consumed
S12000014,2014,Count,ktonnes,114,Total Amount Of Petrol And Diesel Consumed
S12000038,2008,Count,ktonnes,113,Total Amount Of Petrol And Diesel Consumed
S12000014,2012,Count,ktonnes,111,Total Amount Of Petrol And Diesel Consumed
S12000014,2013,Count,ktonnes,111,Total Amount Of Petrol And Diesel Consumed
S12000038,2011,Count,ktonnes,106,Total Amount Of Petrol And Diesel Consumed
S12000038,2010,Count,ktonnes,107,Total Amount Of Petrol And Diesel Consumed
