FeatureCode,DateCode,Measurement,Units,Value,Age
S12000039,2018,Count,Cards,24068,All
S12000039,2020,Count,Cards,25552,All
S12000039,2016,Count,Cards,22695,All
S12000039,2015,Count,Cards,23104,All
S12000039,2012,Count,Cards,17841,60 years and over
S12000039,2020,Count,Cards,22167,60 years and over
S12000039,2012,Count,Cards,22110,All
S12000039,2011,Count,Cards,21616,All
S12000039,2014,Count,Cards,22362,All
S12000039,2013,Count,Cards,22124,All
S12000039,2018,Count,Cards,20308,60 years and over
S12000039,2019,Count,Cards,25219,All
S12000039,2017,Count,Cards,19312,60 years and over
S12000039,2011,Count,Cards,17523,60 years and over
S12000039,2015,Count,Cards,19398,60 years and over
S12000039,2014,Count,Cards,18811,60 years and over
S12000039,2016,Count,Cards,18972,60 years and over
S12000039,2019,Count,Cards,21431,60 years and over
S12000039,2013,Count,Cards,18895,60 years and over
S12000039,2017,Count,Cards,23059,All
S12000039,2010,Count,Cards,17250,60 years and over
S12000039,2006,Count,Cards,17662,All
S12000039,2007,Count,Cards,15621,60 years and over
S12000039,2006,Count,Cards,14289,60 years and over
S12000039,2010,Count,Cards,21205,All
S12000039,2007,Count,Cards,19248,All
S12000040,2016,Count,Cards,32920,60 years and over
S12000040,2015,Count,Cards,39115,All
S12000040,2014,Count,Cards,33104,60 years and over
S12000040,2012,Count,Cards,30549,60 years and over
S12000040,2019,Count,Cards,42308,All
S12000040,2007,Count,Cards,24989,60 years and over
S12000040,2017,Count,Cards,33889,60 years and over
S12000040,2006,Count,Cards,22358,60 years and over
S12000040,2020,Count,Cards,42179,All
S12000040,2019,Count,Cards,36955,60 years and over
S12000040,2013,Count,Cards,32260,60 years and over
S12000040,2011,Count,Cards,29620,60 years and over
S12000040,2018,Count,Cards,35317,60 years and over
S12000040,2010,Count,Cards,28701,60 years and over
S12000040,2006,Count,Cards,26704,All
S12000040,2018,Count,Cards,40546,All
S12000040,2015,Count,Cards,34271,60 years and over
S12000040,2016,Count,Cards,37942,All
S12000040,2010,Count,Cards,33811,All
S12000040,2007,Count,Cards,29507,All
S12000040,2014,Count,Cards,37610,All
S12000040,2020,Count,Cards,37679,60 years and over
S12000040,2013,Count,Cards,36145,All
S12000040,2011,Count,Cards,34996,All
S12000040,2017,Count,Cards,39045,All
S12000040,2012,Count,Cards,36169,All
S92000003,2019,Count,Cards,1436617,All
S92000003,2015,Count,Cards,1170709,60 years and over
S92000003,2020,Count,Cards,1440804,All
S92000003,2007,Count,Cards,1090992,All
S92000003,2011,Count,Cards,1233490,All
S92000003,2010,Count,Cards,1025813,60 years and over
S92000003,2010,Count,Cards,1202745,All
S92000003,2014,Count,Cards,1297751,All
S92000003,2018,Count,Cards,1203751,60 years and over
S92000003,2012,Count,Cards,1265354,All
S92000003,2013,Count,Cards,1279813,All
S92000003,2006,Count,Cards,831276,60 years and over
S92000003,2014,Count,Cards,1142923,60 years and over
S92000003,2015,Count,Cards,1334517,All
S92000003,2007,Count,Cards,926726,60 years and over
S92000003,2012,Count,Cards,1076202,60 years and over
S92000003,2017,Count,Cards,1327082,All
S92000003,2020,Count,Cards,1281703,60 years and over
S92000003,2018,Count,Cards,1378098,All
S92000003,2016,Count,Cards,1313251,All
S92000003,2016,Count,Cards,1146751,60 years and over
S92000003,2019,Count,Cards,1256531,60 years and over
S92000003,2011,Count,Cards,1050778,60 years and over
S92000003,2013,Count,Cards,1141214,60 years and over
S92000003,2017,Count,Cards,1156063,60 years and over
S12000005,2017,Count,Cards,11000,60 years and over
S12000005,2007,Count,Cards,8667,60 years and over
S12000005,2012,Count,Cards,10373,60 years and over
S12000005,2020,Count,Cards,11615,60 years and over
S12000005,2006,Count,Cards,8037,60 years and over
S12000005,2010,Count,Cards,9757,60 years and over
S12000005,2011,Count,Cards,10126,60 years and over
S12000005,2013,Count,Cards,10580,60 years and over
S12000005,2011,Count,Cards,11604,All
S12000005,2014,Count,Cards,10797,60 years and over
S12000005,2012,Count,Cards,11924,All
S12000005,2016,Count,Cards,12144,All
S12000005,2018,Count,Cards,11288,60 years and over
S12000005,2007,Count,Cards,9898,All
S12000005,2010,Count,Cards,11188,All
S12000005,2014,Count,Cards,12051,All
S12000005,2017,Count,Cards,12387,All
S12000005,2020,Count,Cards,12857,All
S12000005,2015,Count,Cards,11072,60 years and over
S12000005,2013,Count,Cards,11726,All
S12000005,2018,Count,Cards,12711,All
S12000005,2015,Count,Cards,12406,All
S12000005,2006,Count,Cards,9169,All
S12000005,2016,Count,Cards,10792,60 years and over
S12000005,2019,Count,Cards,11594,60 years and over
S12000005,2019,Count,Cards,13047,All
S12000006,2007,Count,Cards,28923,60 years and over
S12000006,2014,Count,Cards,40929,All
S12000006,2012,Count,Cards,40050,All
S12000006,2013,Count,Cards,39979,All
S12000006,2020,Count,Cards,45288,All
S12000006,2016,Count,Cards,38500,60 years and over
S12000006,2017,Count,Cards,41180,All
S12000006,2006,Count,Cards,25853,60 years and over
S12000006,2007,Count,Cards,32025,All
S12000006,2006,Count,Cards,28558,All
S12000006,2010,Count,Cards,37518,All
S12000006,2011,Count,Cards,38768,All
S12000006,2010,Count,Cards,33830,60 years and over
S12000006,2019,Count,Cards,41092,60 years and over
S12000006,2018,Count,Cards,39393,60 years and over
S12000006,2013,Count,Cards,37331,60 years and over
S12000006,2020,Count,Cards,41857,60 years and over
S12000006,2014,Count,Cards,37884,60 years and over
S12000006,2019,Count,Cards,44901,All
S12000006,2016,Count,Cards,41846,All
S12000006,2017,Count,Cards,37748,60 years and over
S12000006,2015,Count,Cards,42125,All
S12000006,2018,Count,Cards,42935,All
S12000006,2012,Count,Cards,36094,60 years and over
S12000006,2011,Count,Cards,34969,60 years and over
S12000006,2015,Count,Cards,38896,60 years and over
S12000008,2010,Count,Cards,24569,60 years and over
S12000008,2011,Count,Cards,25088,60 years and over
S12000008,2018,Count,Cards,27656,60 years and over
S12000008,2015,Count,Cards,32162,All
S12000008,2014,Count,Cards,27173,60 years and over
S12000008,2016,Count,Cards,26770,60 years and over
S12000008,2017,Count,Cards,26924,60 years and over
S12000008,2017,Count,Cards,31499,All
S12000008,2018,Count,Cards,32392,All
S12000008,2020,Count,Cards,33206,All
S12000008,2016,Count,Cards,31210,All
S12000008,2015,Count,Cards,27787,60 years and over
S12000008,2020,Count,Cards,28946,60 years and over
S12000008,2006,Count,Cards,20127,60 years and over
S12000008,2019,Count,Cards,33399,All
S12000008,2013,Count,Cards,31013,All
S12000008,2014,Count,Cards,31397,All
S12000008,2019,Count,Cards,28538,60 years and over
S12000008,2007,Count,Cards,22066,60 years and over
S12000008,2013,Count,Cards,27238,60 years and over
S12000008,2012,Count,Cards,25621,60 years and over
S12000008,2011,Count,Cards,29987,All
S12000008,2007,Count,Cards,26322,All
S12000008,2010,Count,Cards,29289,All
