FeatureCode,DateCode,Measurement,Units,Value,Indicator (road network traffic)
S12000038,2018,Count,Vehicle Kilometres,1619.14,The Total Million Vehicle Kilometres On Scottish Roads
S12000018,2014,Count,Vehicle Kilometres,514.58,The Total Million Vehicle Kilometres On Scottish Roads
S12000038,2007,Count,Vehicle Kilometres,1389,The Total Million Vehicle Kilometres On Scottish Roads
S12000018,2017,Count,Vehicle Kilometres,523.96,The Total Million Vehicle Kilometres On Scottish Roads
S12000038,2008,Count,Vehicle Kilometres,1408,The Total Million Vehicle Kilometres On Scottish Roads
S12000018,2015,Count,Vehicle Kilometres,515.74,The Total Million Vehicle Kilometres On Scottish Roads
S12000038,2019,Count,Vehicle Kilometres,1623.57,The Total Million Vehicle Kilometres On Scottish Roads
S12000018,2007,Count,Vehicle Kilometres,545,The Total Million Vehicle Kilometres On Scottish Roads
S12000018,2018,Count,Vehicle Kilometres,520.89,The Total Million Vehicle Kilometres On Scottish Roads
S12000038,2016,Count,Vehicle Kilometres,1563.6,The Total Million Vehicle Kilometres On Scottish Roads
S12000019,2018,Count,Vehicle Kilometres,727.57,The Total Million Vehicle Kilometres On Scottish Roads
S12000019,2017,Count,Vehicle Kilometres,726.81,The Total Million Vehicle Kilometres On Scottish Roads
S12000038,2011,Count,Vehicle Kilometres,1452.8,The Total Million Vehicle Kilometres On Scottish Roads
S12000038,2017,Count,Vehicle Kilometres,1576.53,The Total Million Vehicle Kilometres On Scottish Roads
S12000038,2014,Count,Vehicle Kilometres,1503.1,The Total Million Vehicle Kilometres On Scottish Roads
S12000038,2010,Count,Vehicle Kilometres,1450.04,The Total Million Vehicle Kilometres On Scottish Roads
S12000038,2009,Count,Vehicle Kilometres,1382,The Total Million Vehicle Kilometres On Scottish Roads
S12000038,2006,Count,Vehicle Kilometres,1376,The Total Million Vehicle Kilometres On Scottish Roads
S12000018,2019,Count,Vehicle Kilometres,534.55,The Total Million Vehicle Kilometres On Scottish Roads
S12000041,2010,Count,Vehicle Kilometres,1076.87,The Total Million Vehicle Kilometres On Scottish Roads
S12000041,2011,Count,Vehicle Kilometres,1068.72,The Total Million Vehicle Kilometres On Scottish Roads
S12000041,2012,Count,Vehicle Kilometres,1070.46,The Total Million Vehicle Kilometres On Scottish Roads
S12000018,2011,Count,Vehicle Kilometres,511.85,The Total Million Vehicle Kilometres On Scottish Roads
S12000041,2013,Count,Vehicle Kilometres,1090.65,The Total Million Vehicle Kilometres On Scottish Roads
S12000017,2018,Count,Vehicle Kilometres,2990.98,The Total Million Vehicle Kilometres On Scottish Roads
S12000017,2017,Count,Vehicle Kilometres,2947.46,The Total Million Vehicle Kilometres On Scottish Roads
S12000017,2014,Count,Vehicle Kilometres,2673.2,The Total Million Vehicle Kilometres On Scottish Roads
S12000017,2016,Count,Vehicle Kilometres,2843.73,The Total Million Vehicle Kilometres On Scottish Roads
S12000018,2008,Count,Vehicle Kilometres,541,The Total Million Vehicle Kilometres On Scottish Roads
S12000018,2009,Count,Vehicle Kilometres,533,The Total Million Vehicle Kilometres On Scottish Roads
S12000018,2006,Count,Vehicle Kilometres,538,The Total Million Vehicle Kilometres On Scottish Roads
S12000038,2013,Count,Vehicle Kilometres,1451.51,The Total Million Vehicle Kilometres On Scottish Roads
S12000018,2010,Count,Vehicle Kilometres,517.43,The Total Million Vehicle Kilometres On Scottish Roads
S12000018,2012,Count,Vehicle Kilometres,504.08,The Total Million Vehicle Kilometres On Scottish Roads
S12000018,2013,Count,Vehicle Kilometres,501.03,The Total Million Vehicle Kilometres On Scottish Roads
S12000038,2015,Count,Vehicle Kilometres,1536.36,The Total Million Vehicle Kilometres On Scottish Roads
S12000018,2016,Count,Vehicle Kilometres,522.89,The Total Million Vehicle Kilometres On Scottish Roads
S12000036,2014,Count,Vehicle Kilometres,2883.1,The Total Million Vehicle Kilometres On Scottish Roads
S12000020,2019,Count,Vehicle Kilometres,821.46,The Total Million Vehicle Kilometres On Scottish Roads
S12000020,2009,Count,Vehicle Kilometres,729,The Total Million Vehicle Kilometres On Scottish Roads
S12000036,2015,Count,Vehicle Kilometres,2935.64,The Total Million Vehicle Kilometres On Scottish Roads
S12000036,2010,Count,Vehicle Kilometres,2871.74,The Total Million Vehicle Kilometres On Scottish Roads
